model,operating_point,accuracy,precision,recall,f1,roc_auc,pr_auc,train_seconds,threshold
Logistic Regression,Default-0.5,0.7697555555555555,0.0011589723778249951,0.3870967741935484,0.0023110255175734233,0.6312248079142693,0.0017772878124634414,13.23791766166687,
Random Forest,Default-0.5,0.9606666666666667,0.0011474469305794606,0.06451612903225806,0.002254791431792559,0.5806042729077163,0.0010711190672483507,166.5791928768158,
MLP (Keras),Recall-first,0.4732222222222222,0.0008012820512820513,0.6129032258064516,0.0016004717179800361,0.5492780331109819,0.000913353173056658,21.56489872932434,0.0007672280771657825
XGBoost,Recall-first,0.0518,0.0006792205358815814,0.9354838709677419,0.0013574554731200412,0.5378949225954224,0.0008282995740996996,111.49220728874207,0.33416947722435
Decision Tree,Default-0.5,0.8993777777777778,0.00044434570095534326,0.06451612903225806,0.00088261253309797,0.47719755329657204,0.0007307942940164826,115.44594430923462,
XGBoost,F1-opt,0.9914444444444445,0.0,0.0,0.0,0.5378949225954224,0.0008282995740996996,111.49220728874207,0.619853138923645
MLP (Keras),F1-opt,0.9873333333333333,0.0,0.0,0.0,0.5492780331109819,0.000913353173056658,21.56489872932434,0.8203067779541016
